market,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,tp21,tp22,tp23,tp24,tp25,tp26,tp27,tp28,tp29,tp30,tp31,tp32,tp33,tp34,tp35,tp36,tp37,tp38,tp39,tp40,tp41,tp42,tp43,tp44,tp45,tp46,tp47,tp48,LONGITUDE,LATITUDE
325001,25.97,25.97,30,9.9,19.98,15,27.02,9,17.52,9,13.51,12.53,8.52,10.02,16.03,15,21,12,24.01,30.03,25.97,15,14.5,19.98,17,19.02,14,17.5,15.48,10.98,12,8,14.98,9,10.5,10,8.48,12,15.48,21,14,14.52,16,19.98,12.5,11.28,12.12,14,82.762337,20.2866522
325002,23.03,23.03,18,8,18.97,15,28,12,13.02,10.5,10.5,6.2,6.5,9.3,14.49,16.5,20.02,15,27.02,25.02,31.99,12.99,19,17.52,10,14.5,13.52,15,17.01,13.02,10.99,10,9,7.6,13.5,11.3,9.48,15.48,11,20.51,14,7.52,16.02,17,12.53,15.48,7.92,13.98,82.5104655,20.8968392
326001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.8314655,19.8133822
326002,9.7,9.7,4.7,3,9.2,2.3,8.3,NaN,4.1,5.1,15.9,7.3,8.4,11.3,8.9,10,17.79,9.1,9.9,10.5,9.1,4.5,8.9,4.5,NaN,15.6,16.5,10.5,3.4,0.6,16.6,25.29,14.1,2.4,4.3,NaN,NaN,4.7,4.8,7.4,4.9,11.9,NaN,8.5,11.4,5.6,5.9,NaN,85.8314655,19.8133822
326003,20.01,20.01,14,13,20.49,13.5,13,11,20.01,13.5,14,13.5,14,13,19.5,13.5,13.5,12.5,13,12.5,13,13,13,12.5,6.5,13.5,19.5,13.5,14,6.5,19.5,13.5,13.5,13.5,14,13.5,20.49,14,13.5,14,20.49,13.5,14,13.5,14,13,13.5,20.49,86.0070547,20.0536724
326004,7.3,7.3,16,19.5,8.8,9.3,8.7,5.1,9.2,16.6,9.5,12.4,NaN,10.8,14.6,6.2,12.8,10.8,29.19,16,6.6,5.7,21.9,NaN,29.61,4.2,4.1,18.5,15.69,6.2,10.6,4.7,13.4,7.7,NaN,NaN,21.3,14.5,16.2,19.8,11.4,NaN,15.9,25.6,22.9,9.8,16.11,4.7,85.612648,19.7888877
326005,68.4,68.4,82.92,89.53,81,72.5,83.1,27.8,74.6,52.88,82.02,98,67.2,72.8,105.77,72.6,102.2,81.48,86.52,108.92,76.5,44.7,92.82,57,86.1,86.4,105.49,71.3,74.4,59.52,81.9,43.11,87.42,87.12,47.61,NaN,81.4,98.52,90.9,47.7,60.88,56.4,80.22,60.8,102.9,77.7,101.43,79.08,85.8138024,19.9463746
327001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38,NaN,20.2,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,NaN,13,NaN,NaN,23,NaN,NaN,83.8128265,19.0754648
327002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.5070203,19.3579153
327003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,1.1,NaN,95,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,NaN,NaN,125,120,NaN,NaN,NaN,230,83.4987493,19.6211504
328001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.9001366,21.426841
328002,1.16,1.16,0.29,0.52,2.3,0.96,NaN,NaN,0.84,NaN,0.3,0.9,2.2,2.97,NaN,NaN,1.3,0.45,1.41,2.55,1.04,0.55,1.56,NaN,1.5,3.35,1.92,1.24,1.4,0.7,1.4,NaN,0.55,1.36,1.36,0.68,NaN,NaN,1.24,1.95,1.36,1.4,2.34,5.45,9,5,5.08,6.72,84.3489467,21.7427571
328003,NaN,NaN,29,21,NaN,NaN,NaN,NaN,7,14,NaN,NaN,8,7,NaN,NaN,7,28,37,17,NaN,NaN,NaN,NaN,9,29,31,24.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15,28,14,21.99,31,7,84.3410586,21.0741608
328004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.9618579,21.3409332
328005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.9811665,21.4668716
329001,NaN,NaN,NaN,5.4,11.28,8.89,8.88,4.5,3.3,2.5,8.8,10,8.16,6.6,6.56,5.58,7,4.8,5.32,6.4,3.12,4.9,5.6,5.39,6.48,5.58,6,5.1,7.2,5.1,7.04,5.12,5.12,4.48,3.5,4.2,3.99,2.8,3.18,3.71,4.32,3.57,4.16,3.92,4.88,3.42,4.4,4.69,84.0458176,20.8681552
329002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.5509886,21.0475445
329003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.7205777,20.8765848
330001,4.5,4.5,5.88,1.8,4.83,4.5,5.52,4,7.49,5.2,6,7,5,2,6.48,6,6.37,3,6.48,8,7,2,5,6,7,4.8,5.81,6,6.51,6.3,5,4.98,6.02,6,5,5.52,6.23,1.8,3.6,5.28,6.58,5.82,6.88,4.08,7.04,3.2,7.28,7,84.951573,21.820617
330002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,132,84.4080743,21.8769556
330003,14.22,14.22,13.38,4.3,17.29,11.4,6.69,4.3,18.88,12.2,20.72,7.41,18.72,16.73,20.48,16.31,14.58,16.1,16.31,18.8,18.88,16.52,11.6,NaN,6.51,16.31,19.2,16.73,18.24,16.1,18.64,19.36,18.4,16.31,18.48,16.1,20.16,16.59,18.4,18.4,16.38,16.1,18.4,16.38,18.24,16.52,18.64,19.68,83.9095726,22.0522916
